,id,listing_url,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bedrooms,beds,price,availability_30,number_of_reviews,review_scores_rating,instant_bookable,cancellation_policy,reviews_per_month,BezirkeNbr,Zip
10974,36878007,https://www.airbnb.com/rooms/36878007,Favoriten,48.17775,16.3842,Entire home/apt,4,2.0,2.0,100.0,15,4,100.0,t,flexible,0.97,10.,1100 Wien
10975,36879104,https://www.airbnb.com/rooms/36879104,Favoriten,48.17767,16.382920000000002,Entire home/apt,4,2.0,2.0,100.0,19,5,84.0,t,flexible,1.6,10.,1100 Wien
10976,36879546,https://www.airbnb.com/rooms/36879546,Döbling,48.23338,16.35575,Private room,3,1.0,2.0,30.0,0,4,80.0,f,flexible,1.12,19.,1190 Wien
10977,36887055,https://www.airbnb.com/rooms/36887055,Favoriten,48.18063,16.3685,Entire home/apt,4,1.0,2.0,33.0,11,18,96.0,t,flexible,5.24,10.,1100 Wien
10978,36890921,https://www.airbnb.com/rooms/36890921,Simmering,48.16365,16.4267,Shared room,1,1.0,2.0,20.0,12,10,94.0,t,flexible,3.95,11.,1110 Wien
10979,36894507,https://www.airbnb.com/rooms/36894507,Josefstadt,48.20933,16.3551,Entire home/apt,2,1.0,1.0,45.0,0,16,96.0,t,moderate,4.57,8.,1080 Wien
10981,36899386,https://www.airbnb.com/rooms/36899386,Favoriten,48.17523,16.378120000000003,Entire home/apt,4,1.0,2.0,70.0,7,22,98.0,t,moderate,6.11,10.,1100 Wien
10982,36902109,https://www.airbnb.com/rooms/36902109,Alsergrund,48.216190000000005,16.36446,Entire home/apt,6,3.0,3.0,151.0,10,18,96.0,t,strict_14_with_grace_period,4.62,9.,1090 Wien
10983,36905325,https://www.airbnb.com/rooms/36905325,Leopoldstadt,48.218579999999996,16.39856,Entire home/apt,3,1.0,1.0,60.0,0,1,80.0,t,flexible,0.28,2.,1020 Wien
10985,36908824,https://www.airbnb.com/rooms/36908824,Mariahilf,48.197829999999996,16.35676,Entire home/apt,2,1.0,2.0,70.0,8,15,97.0,f,moderate,4.09,6.,1060 Wien
10986,36911328,https://www.airbnb.com/rooms/36911328,Alsergrund,48.22789,16.355439999999998,Entire home/apt,6,3.0,3.0,60.0,0,4,85.0,f,flexible,1.08,9.,1090 Wien
10987,36911544,https://www.airbnb.com/rooms/36911544,Landstraße,48.19551,16.40459,Entire home/apt,4,1.0,2.0,65.0,0,4,100.0,f,flexible,1.03,3.,1030 Wien
10988,36913072,https://www.airbnb.com/rooms/36913072,Simmering,48.18327,16.405720000000002,Private room,2,1.0,2.0,35.0,0,2,80.0,t,flexible,0.57,11.,1110 Wien
10990,36926483,https://www.airbnb.com/rooms/36926483,Penzing,48.19765,16.295820000000003,Entire home/apt,2,1.0,2.0,45.0,11,5,96.0,t,flexible,1.61,14.,1140 Wien
10991,36929590,https://www.airbnb.com/rooms/36929590,Floridsdorf,48.27193,16.40536,Entire home/apt,2,1.0,1.0,29.0,0,18,91.0,t,strict_14_with_grace_period,4.54,21.,1210 Wien
10992,36936412,https://www.airbnb.com/rooms/36936412,Neubau,48.20425,16.35395,Private room,4,1.0,1.0,34.0,22,14,97.0,t,flexible,3.44,7.,1070 Wien
10994,36942979,https://www.airbnb.com/rooms/36942979,Wieden,48.19747,16.37358,Entire home/apt,2,1.0,2.0,40.0,0,21,95.0,t,strict_14_with_grace_period,5.58,4.,1040 Wien
10995,36943025,https://www.airbnb.com/rooms/36943025,Josefstadt,48.2078,16.3493,Entire home/apt,3,1.0,1.0,50.0,0,2,100.0,f,flexible,0.63,8.,1080 Wien
10996,36955681,https://www.airbnb.com/rooms/36955681,Margareten,48.18083,16.35291,Private room,4,2.0,2.0,27.0,11,12,97.0,t,flexible,3.4,5.,1050 Wien
10997,36962441,https://www.airbnb.com/rooms/36962441,Wieden,48.18925,16.3644,Private room,1,1.0,1.0,39.0,22,5,100.0,f,flexible,1.69,4.,1040 Wien
10998,36963731,https://www.airbnb.com/rooms/36963731,Meidling,48.18215,16.32315,Entire home/apt,4,1.0,2.0,55.0,0,11,100.0,t,flexible,3.08,12.,1120 Wien
11000,36966378,https://www.airbnb.com/rooms/36966378,Margareten,48.184709999999995,16.35391,Private room,2,1.0,1.0,54.0,0,4,100.0,t,strict_14_with_grace_period,1.03,5.,1050 Wien
11002,36971157,https://www.airbnb.com/rooms/36971157,Landstraße,48.189009999999996,16.38767,Entire home/apt,7,2.0,4.0,79.0,13,12,95.0,t,flexible,3.3,3.,1030 Wien
11003,36971402,https://www.airbnb.com/rooms/36971402,Penzing,48.192440000000005,16.31457,Entire home/apt,4,1.0,2.0,70.0,19,17,100.0,f,strict_14_with_grace_period,4.77,14.,1140 Wien
11004,36973232,https://www.airbnb.com/rooms/36973232,Donaustadt,48.2369,16.425829999999998,Entire home/apt,4,2.0,3.0,70.0,15,14,97.0,t,flexible,3.59,22.,1220 Wien
